epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.448,2.12253,2.97938,1.7013,0.23566,0.21724,0.15993,0.05572,2.26048,2.79079,1.86525,0.0672845,0.00033046,0.00033046
2,314.492,1.99582,2.35246,1.65526,0.34209,0.36944,0.26702,0.09173,2.30974,2.33142,1.89078,0.0342804,0.000659748,0.000659748
3,468.296,1.93804,2.15669,1.61979,0.41245,0.34439,0.32372,0.11512,2.156,3.0217,1.75141,0.00126033,0.000972969,0.000972969
4,668.752,1.90465,2.02837,1.61009,0.47145,0.44483,0.41932,0.16658,2.09686,1.86306,1.72362,0.000946048,0.000946048,0.000946048
5,874.754,1.85994,1.94754,1.56988,0.49417,0.48241,0.45394,0.16707,2.15236,1.89384,1.73401,0.000905463,0.000905463,0.000905463
6,1058.63,1.82145,1.85444,1.54905,0.53251,0.51555,0.49104,0.1963,2.05949,1.67442,1.6679,0.000855018,0.000855018,0.000855018
7,1223.39,1.77631,1.79771,1.51445,0.56919,0.53886,0.54804,0.22144,2.04216,1.60612,1.68955,0.000795954,0.000795954,0.000795954
8,1434.36,1.75534,1.73847,1.50094,0.60673,0.53176,0.52851,0.20579,2.06649,1.64206,1.71049,0.000729725,0.000729725,0.000729725
9,1640.18,1.68661,1.67387,1.47724,0.60756,0.54452,0.56313,0.22343,2.03338,1.61443,1.67009,0.000657963,0.000657963,0.000657963
10,1843.07,1.69209,1.63868,1.46074,0.61217,0.5627,0.56216,0.21853,2.06495,1.54983,1.68623,0.000582435,0.000582435,0.000582435
11,3760.5,1.65613,1.53884,1.44617,0.59517,0.55487,0.53815,0.21785,2.03706,1.60203,1.67492,0.000505,0.000505,0.000505
12,3933.22,1.64485,1.55196,1.44181,0.65944,0.54741,0.5944,0.23055,2.04408,1.49719,1.66889,0.000427565,0.000427565,0.000427565
13,4141.05,1.58916,1.4972,1.40287,0.69568,0.57305,0.60857,0.24985,2.00065,1.46297,1.6248,0.000352037,0.000352037,0.000352037
14,4346.84,1.57868,1.43829,1.38724,0.64697,0.59455,0.61164,0.2492,2.01465,1.41817,1.62817,0.000280275,0.000280275,0.000280275
15,4553.37,1.53945,1.40991,1.36957,0.68265,0.58143,0.63037,0.26146,2.02252,1.38367,1.64065,0.000214046,0.000214046,0.000214046
16,5257.29,1.55228,1.38749,1.3698,0.66953,0.61071,0.63021,0.2559,2.03079,1.39002,1.629,0.000154982,0.000154982,0.000154982
17,5423.38,1.51703,1.37247,1.35733,0.69038,0.60878,0.65422,0.27228,2.00189,1.33281,1.61756,0.000104537,0.000104537,0.000104537
18,5571.76,1.50927,1.33803,1.36723,0.69981,0.58827,0.64061,0.26657,2.01863,1.34521,1.62953,6.39518e-05,6.39518e-05,6.39518e-05
19,5778.81,1.51873,1.2998,1.37271,0.71531,0.5738,0.63684,0.26243,2.0219,1.37693,1.63819,3.4227e-05,3.4227e-05,3.4227e-05
20,5937.44,1.53942,1.30663,1.36895,0.70532,0.57306,0.62907,0.25769,2.02961,1.37465,1.64001,1.60943e-05,1.60943e-05,1.60943e-05
